reportyear,county_name,strata_level_name_code,strata_level_name,numerator,denominator,rate
2003,Lake,1,Aggravated assault,16,5158,3.1
2003,Lake,2,Forcible rape,2,5158,0.39
2003,Lake,4,Robbery,1,5158,0.19
2003,Lake,5,Violent crime total,19,5158,0.92
2003,Los Angeles,1,Aggravated assault,173,81901,2.11
2003,Los Angeles,2,Forcible rape,17,81901,0.21
2003,Los Angeles,3,Murder and non-negligent manslaughter,4,81901,0.05
2003,Los Angeles,4,Robbery,146,81901,1.78
2003,Los Angeles,5,Violent crime total,340,81901,1.04
2003,San Diego,1,Aggravated assault,93,55543,1.67
2003,San Diego,2,Forcible rape,12,55543,0.22
2003,San Diego,3,Murder and non-negligent manslaughter,2,55543,0.04
2003,San Diego,4,Robbery,66,55543,1.19
2003,San Diego,5,Violent crime total,173,55543,0.78
2003,Los Angeles,1,Aggravated assault,106,48987,2.16
2003,Los Angeles,2,Forcible rape,8,48987,0.16
2003,Los Angeles,3,Murder and non-negligent manslaughter,1,48987,0.02
2003,Los Angeles,4,Robbery,46,48987,0.94
2003,Los Angeles,5,Violent crime total,161,48987,0.82
2003,Los Angeles,1,Aggravated assault,862,125899,6.85
2003,Los Angeles,2,Forcible rape,68,125899,0.54
2003,Los Angeles,3,Murder and non-negligent manslaughter,18,125899,0.14
2003,Los Angeles,4,Robbery,322,125899,2.56
2003,Los Angeles,5,Violent crime total,1270,125899,2.52
2003,Orange,1,Aggravated assault,20,15939,1.25
2003,Orange,2,Forcible rape,1,15939,0.06
2003,Orange,4,Robbery,8,15939,0.5
2003,Orange,5,Violent crime total,29,15939,0.46
2003,Los Angeles,1,Aggravated assault,165,42448,3.89
2003,Los Angeles,2,Forcible rape,7,42448,0.16
2003,Los Angeles,3,Murder and non-negligent manslaughter,10,42448,0.24
2003,Los Angeles,4,Robbery,61,42448,1.44
2003,Los Angeles,5,Violent crime total,243,42448,1.43
2003,Riverside,1,Aggravated assault,52,30358,1.71
2003,Riverside,2,Forcible rape,7,30358,0.23
2003,Riverside,3,Murder and non-negligent manslaughter,3,30358,0.1
2003,Riverside,4,Robbery,15,30358,0.49
2003,Riverside,5,Violent crime total,77,30358,0.64
2003,Los Angeles,1,Aggravated assault,44,33054,1.33
2003,Los Angeles,2,Forcible rape,7,33054,0.21
2003,Los Angeles,3,Murder and non-negligent manslaughter,1,33054,0.03
2003,Los Angeles,4,Robbery,23,33054,0.7
2003,Los Angeles,5,Violent crime total,75,33054,0.57
2003,Los Angeles,1,Aggravated assault,100,32728,3.06
2003,Los Angeles,2,Forcible rape,9,32728,0.27
2003,Los Angeles,3,Murder and non-negligent manslaughter,2,32728,0.06
2003,Los Angeles,4,Robbery,81,32728,2.47
2003,Los Angeles,5,Violent crime total,192,32728,1.47
2003,San Diego,1,Aggravated assault,90,25320,3.55
2003,San Diego,2,Forcible rape,4,25320,0.16
2003,San Diego,3,Murder and non-negligent manslaughter,1,25320,0.04
2003,San Diego,4,Robbery,50,25320,1.97
2003,San Diego,5,Violent crime total,145,25320,1.43
2003,Kings,1,Aggravated assault,54,21297,2.54
2003,Kings,2,Forcible rape,5,21297,0.23
2003,Kings,3,Murder and non-negligent manslaughter,1,21297,0.05
2003,Kings,4,Robbery,15,21297,0.7
2003,Kings,5,Violent crime total,75,21297,0.88
2003,Placer,1,Aggravated assault,33,19882,1.66
2003,Placer,2,Forcible rape,7,19882,0.35
2003,Placer,4,Robbery,7,19882,0.35
2003,Placer,5,Violent crime total,47,19882,0.59
2003,Tulare,1,Aggravated assault,89,10634,8.37
2003,Tulare,2,Forcible rape,3,10634,0.28
2003,Tulare,3,Murder and non-negligent manslaughter,1,10634,0.09
2003,Tulare,4,Robbery,15,10634,1.41
2003,Tulare,5,Violent crime total,108,10634,2.54
2003,Alameda,1,Aggravated assault,88,77433,1.14
2003,Alameda,2,Forcible rape,19,77433,0.25
2003,Alameda,3,Murder and non-negligent manslaughter,1,77433,0.01
2003,Alameda,4,Robbery,37,77433,0.48
2003,Alameda,5,Violent crime total,145,77433,0.47
2003,Merced,1,Aggravated assault,49,11364,4.31
2003,Merced,2,Forcible rape,4,11364,0.35
2003,Merced,4,Robbery,10,11364,0.88
2003,Merced,5,Violent crime total,63,11364,1.39
2003,San Joaquin,1,Aggravated assault,202,61292,3.3
2003,San Joaquin,2,Forcible rape,11,61292,0.18
2003,San Joaquin,3,Murder and non-negligent manslaughter,1,61292,0.02
2003,San Joaquin,4,Robbery,49,61292,0.8
2003,San Joaquin,5,Violent crime total,263,61292,1.07
2003,San Bernardino,1,Aggravated assault,26,20021,1.3
2003,San Bernardino,2,Forcible rape,1,20021,0.05
2003,San Bernardino,4,Robbery,17,20021,0.85
2003,San Bernardino,5,Violent crime total,44,20021,0.55
2003,Los Angeles,1,Aggravated assault,75,20697,3.62
2003,Los Angeles,2,Forcible rape,4,20697,0.19
2003,Los Angeles,4,Robbery,38,20697,1.84
2003,Los Angeles,5,Violent crime total,117,20697,1.41
2003,Santa Barbara,1,Aggravated assault,157,41823,3.75
2003,Santa Barbara,2,Forcible rape,24,41823,0.57
2003,Santa Barbara,4,Robbery,44,41823,1.05
2003,Santa Barbara,5,Violent crime total,225,41823,1.34
2003,Los Angeles,1,Aggravated assault,1983,477368,4.15
2003,Los Angeles,2,Forcible rape,136,477368,0.28
2003,Los Angeles,3,Murder and non-negligent manslaughter,49,477368,0.1
2003,Los Angeles,4,Robbery,1411,477368,2.96
2003,Los Angeles,5,Violent crime total,3579,477368,1.88
2003,Orange,1,Aggravated assault,21,11833,1.77
2003,Orange,2,Forcible rape,4,11833,0.34
2003,Orange,4,Robbery,20,11833,1.69
2003,Orange,5,Violent crime total,45,11833,0.95
2003,Santa Clara,1,Aggravated assault,12,27601,0.43
2003,Santa Clara,2,Forcible rape,1,27601,0.04
2003,Santa Clara,4,Robbery,4,27601,0.14
2003,Santa Clara,5,Violent crime total,17,27601,0.15
2003,Santa Clara,1,Aggravated assault,1,8086,0.12
2003,Santa Clara,2,Forcible rape,1,8086,0.12
2003,Santa Clara,5,Violent crime total,2,8086,0.06
2003,Los Angeles,1,Aggravated assault,30506,3838838,7.95
2003,Los Angeles,2,Forcible rape,1226,3838838,0.32
2003,Los Angeles,3,Murder and non-negligent manslaughter,515,3838838,0.13
2003,Los Angeles,4,Robbery,16577,3838838,4.32
2003,Los Angeles,5,Violent crime total,48824,3838838,3.18
2003,Merced,1,Aggravated assault,183,29835,6.13
2003,Merced,2,Forcible rape,12,29835,0.4
2003,Merced,4,Robbery,21,29835,0.7
2003,Merced,5,Violent crime total,216,29835,1.81
2003,Santa Clara,1,Aggravated assault,20,28505,0.7
2003,Santa Clara,2,Forcible rape,3,28505,0.11
2003,Santa Clara,3,Murder and non-negligent manslaughter,1,28505,0.04
2003,Santa Clara,4,Robbery,12,28505,0.42
2003,Santa Clara,5,Violent crime total,36,28505,0.32
2003,Los Angeles,1,Aggravated assault,578,72136,8.01
2003,Los Angeles,2,Forcible rape,19,72136,0.26
2003,Los Angeles,3,Murder and non-negligent manslaughter,15,72136,0.21
2003,Los Angeles,4,Robbery,307,72136,4.26
2003,Los Angeles,5,Violent crime total,919,72136,3.19
2003,Madera,1,Aggravated assault,301,46699,6.45
2003,Madera,2,Forcible rape,30,46699,0.64
2003,Madera,3,Murder and non-negligent manslaughter,2,46699,0.04
2003,Madera,4,Robbery,145,46699,3.1
2003,Madera,5,Violent crime total,478,46699,2.56
2003,Los Angeles,1,Aggravated assault,37,13223,2.8
2003,Los Angeles,2,Forcible rape,5,13223,0.38
2003,Los Angeles,4,Robbery,8,13223,0.61
2003,Los Angeles,5,Violent crime total,50,13223,0.94
2003,Mono,1,Aggravated assault,26,7482,3.48
2003,Mono,2,Forcible rape,2,7482,0.27
2003,Mono,3,Murder and non-negligent manslaughter,1,7482,0.13
2003,Mono,4,Robbery,2,7482,0.27
2003,Mono,5,Violent crime total,31,7482,1.03
2003,Los Angeles,1,Aggravated assault,26,35873,0.72
2003,Los Angeles,2,Forcible rape,10,35873,0.28
2003,Los Angeles,3,Murder and non-negligent manslaughter,1,35873,0.03
2003,Los Angeles,4,Robbery,25,35873,0.7
2003,Los Angeles,5,Violent crime total,62,35873,0.43
2003,San Joaquin,1,Aggravated assault,127,57501,2.21
2003,San Joaquin,2,Forcible rape,6,57501,0.1
2003,San Joaquin,3,Murder and non-negligent manslaughter,2,57501,0.03
2003,San Joaquin,4,Robbery,60,57501,1.04
2003,San Joaquin,5,Violent crime total,195,57501,0.85
2003,Monterey,1,Aggravated assault,39,21368,1.83
2003,Monterey,2,Forcible rape,7,21368,0.33
2003,Monterey,4,Robbery,38,21368,1.78
2003,Monterey,5,Violent crime total,84,21368,0.98
2003,Contra Costa,1,Aggravated assault,57,37092,1.54
2003,Contra Costa,2,Forcible rape,7,37092,0.19
2003,Contra Costa,4,Robbery,25,37092,0.67
2003,Contra Costa,5,Violent crime total,89,37092,0.6
2003,Yuba,1,Aggravated assault,79,12651,6.24
2003,Yuba,2,Forcible rape,11,12651,0.87
2003,Yuba,3,Murder and non-negligent manslaughter,1,12651,0.08
2003,Yuba,4,Robbery,25,12651,1.98
2003,Yuba,5,Violent crime total,116,12651,2.29
2003,Los Angeles,1,Aggravated assault,128,29011,4.41
2003,Los Angeles,2,Forcible rape,1,29011,0.03
2003,Los Angeles,3,Murder and non-negligent manslaughter,1,29011,0.03
2003,Los Angeles,4,Robbery,53,29011,1.83
2003,Los Angeles,5,Violent crime total,183,29011,1.58
2003,San Mateo,1,Aggravated assault,33,30595,1.08
2003,San Mateo,2,Forcible rape,6,30595,0.2
2003,San Mateo,4,Robbery,27,30595,0.88
2003,San Mateo,5,Violent crime total,66,30595,0.54
2003,Merced,1,Aggravated assault,432,68941,6.27
2003,Merced,2,Forcible rape,29,68941,0.42
2003,Merced,3,Murder and non-negligent manslaughter,7,68941,0.1
2003,Merced,4,Robbery,168,68941,2.44
2003,Merced,5,Violent crime total,636,68941,2.31
2003,San Mateo,1,Aggravated assault,14,20530,0.68
2003,San Mateo,2,Forcible rape,1,20530,0.05
2003,San Mateo,3,Murder and non-negligent manslaughter,1,20530,0.05
2003,San Mateo,4,Robbery,14,20530,0.68
2003,San Mateo,5,Violent crime total,30,20530,0.36
2003,Marin,1,Aggravated assault,7,13699,0.51
2003,Marin,2,Forcible rape,2,13699,0.15
2003,Marin,4,Robbery,4,13699,0.29
2003,Marin,5,Violent crime total,13,13699,0.24
2003,Santa Clara,1,Aggravated assault,136,64368,2.11
2003,Santa Clara,2,Forcible rape,23,64368,0.36
2003,Santa Clara,3,Murder and non-negligent manslaughter,3,64368,0.05
2003,Santa Clara,4,Robbery,38,64368,0.59
2003,Santa Clara,5,Violent crime total,200,64368,0.78
2003,Orange,1,Aggravated assault,84,97317,0.86
2003,Orange,2,Forcible rape,4,97317,0.04
2003,Orange,3,Murder and non-negligent manslaughter,1,97317,0.01
2003,Orange,4,Robbery,25,97317,0.26
2003,Orange,5,Violent crime total,114,97317,0.29
2003,Stanislaus,1,Aggravated assault,939,205691,4.57
2003,Stanislaus,2,Forcible rape,73,205691,0.35
2003,Stanislaus,3,Murder and non-negligent manslaughter,17,205691,0.08
2003,Stanislaus,4,Robbery,380,205691,1.85
2003,Stanislaus,5,Violent crime total,1409,205691,1.71
2003,Los Angeles,1,Aggravated assault,57,38245,1.49
2003,Los Angeles,2,Forcible rape,9,38245,0.24
2003,Los Angeles,3,Murder and non-negligent manslaughter,2,38245,0.05
2003,Los Angeles,4,Robbery,38,38245,0.99
2003,Los Angeles,5,Violent crime total,106,38245,0.69
2003,Siskiyou,1,Aggravated assault,2,1454,1.38
2003,Siskiyou,5,Violent crime total,2,1454,0.34
2003,San Bernardino,1,Aggravated assault,118,34738,3.4
2003,San Bernardino,2,Forcible rape,14,34738,0.4
2003,San Bernardino,4,Robbery,62,34738,1.78
2003,San Bernardino,5,Violent crime total,194,34738,1.4
2003,Los Angeles,1,Aggravated assault,139,64274,2.16
2003,Los Angeles,2,Forcible rape,17,64274,0.26
2003,Los Angeles,3,Murder and non-negligent manslaughter,4,64274,0.06
2003,Los Angeles,4,Robbery,88,64274,1.37
2003,Los Angeles,5,Violent crime total,248,64274,0.96
2003,Monterey,1,Aggravated assault,108,29960,3.6
2003,Monterey,2,Forcible rape,12,29960,0.4
2003,Monterey,3,Murder and non-negligent manslaughter,1,29960,0.03
2003,Monterey,4,Robbery,36,29960,1.2
2003,Monterey,5,Violent crime total,157,29960,1.31
2003,Los Angeles,1,Aggravated assault,61,62471,0.98
2003,Los Angeles,2,Forcible rape,6,62471,0.1
2003,Los Angeles,3,Murder and non-negligent manslaughter,1,62471,0.02
2003,Los Angeles,4,Robbery,99,62471,1.58
2003,Los Angeles,5,Violent crime total,167,62471,0.67
2003,Santa Clara,1,Aggravated assault,3,3489,0.86
2003,Santa Clara,5,Violent crime total,3,3489,0.21
2003,Ventura,1,Aggravated assault,30,34940,0.86
2003,Ventura,2,Forcible rape,3,34940,0.09
2003,Ventura,4,Robbery,7,34940,0.2
2003,Ventura,5,Violent crime total,40,34940,0.28
2003,Contra Costa,1,Aggravated assault,16,16861,0.95
2003,Contra Costa,4,Robbery,2,16861,0.12
2003,Contra Costa,5,Violent crime total,18,16861,0.27
2003,Riverside,1,Aggravated assault,468,152355,3.07
2003,Riverside,2,Forcible rape,67,152355,0.44
2003,Riverside,3,Murder and non-negligent manslaughter,4,152355,0.03
2003,Riverside,4,Robbery,271,152355,1.78
2003,Riverside,5,Violent crime total,810,152355,1.33
2003,Santa Clara,1,Aggravated assault,38,34146,1.11
2003,Santa Clara,2,Forcible rape,7,34146,0.21
2003,Santa Clara,4,Robbery,18,34146,0.53
2003,Santa Clara,5,Violent crime total,63,34146,0.46
2003,San Luis Obispo,1,Aggravated assault,22,10614,2.07
2003,San Luis Obispo,2,Forcible rape,4,10614,0.38
2003,San Luis Obispo,5,Violent crime total,26,10614,0.61
2003,Santa Clara,1,Aggravated assault,242,70781,3.42
2003,Santa Clara,2,Forcible rape,6,70781,0.08
2003,Santa Clara,3,Murder and non-negligent manslaughter,1,70781,0.01
2003,Santa Clara,4,Robbery,42,70781,0.59
2003,Santa Clara,5,Violent crime total,291,70781,1.03
2003,Siskiyou,1,Aggravated assault,9,3624,2.48
2003,Siskiyou,4,Robbery,1,3624,0.28
2003,Siskiyou,5,Violent crime total,10,3624,0.69
2003,Riverside,1,Aggravated assault,31,54668,0.57
2003,Riverside,2,Forcible rape,8,54668,0.15
2003,Riverside,4,Robbery,25,54668,0.46
2003,Riverside,5,Violent crime total,64,54668,0.29
2003,Napa,1,Aggravated assault,232,75819,3.06
2003,Napa,2,Forcible rape,26,75819,0.34
2003,Napa,4,Robbery,48,75819,0.63
2003,Napa,5,Violent crime total,306,75819,1.01
2003,San Diego,1,Aggravated assault,349,56124,6.22
2003,San Diego,2,Forcible rape,33,56124,0.59
2003,San Diego,3,Murder and non-negligent manslaughter,9,56124,0.16
2003,San Diego,4,Robbery,155,56124,2.76
2003,San Diego,5,Violent crime total,546,56124,2.43
2003,San Bernardino,1,Aggravated assault,29,5247,5.53
2003,San Bernardino,2,Forcible rape,2,5247,0.38
2003,San Bernardino,4,Robbery,4,5247,0.76
2003,San Bernardino,5,Violent crime total,35,5247,1.67
2003,Nevada,1,Aggravated assault,2,3051,0.66
2003,Nevada,4,Robbery,5,3051,1.64
2003,Nevada,5,Violent crime total,7,3051,0.57
2003,Alameda,1,Aggravated assault,111,43786,2.54
2003,Alameda,2,Forcible rape,18,43786,0.41
2003,Alameda,3,Murder and non-negligent manslaughter,1,43786,0.02
2003,Alameda,4,Robbery,53,43786,1.21
2003,Alameda,5,Violent crime total,183,43786,1.04
2003,Stanislaus,1,Aggravated assault,15,7595,1.97
2003,Stanislaus,2,Forcible rape,4,7595,0.53
2003,Stanislaus,4,Robbery,2,7595,0.26
2003,Stanislaus,5,Violent crime total,21,7595,0.69
2003,Orange,1,Aggravated assault,72,78915,0.91
2003,Orange,2,Forcible rape,16,78915,0.2
2003,Orange,4,Robbery,27,78915,0.34
2003,Orange,5,Violent crime total,115,78915,0.36
2003,Riverside,1,Aggravated assault,116,26109,4.44
2003,Riverside,2,Forcible rape,2,26109,0.08
2003,Riverside,4,Robbery,25,26109,0.96
2003,Riverside,5,Violent crime total,143,26109,1.37
2003,Los Angeles,1,Aggravated assault,457,107197,4.26
2003,Los Angeles,2,Forcible rape,23,107197,0.21
2003,Los Angeles,3,Murder and non-negligent manslaughter,9,107197,0.08
2003,Los Angeles,4,Robbery,201,107197,1.88
2003,Los Angeles,5,Violent crime total,690,107197,1.61
2003,Marin,1,Aggravated assault,43,48636,0.88
2003,Marin,2,Forcible rape,7,48636,0.14
2003,Marin,4,Robbery,19,48636,0.39
2003,Marin,5,Violent crime total,69,48636,0.35
2003,Stanislaus,1,Aggravated assault,19,17072,1.11
2003,Stanislaus,2,Forcible rape,8,17072,0.47
2003,Stanislaus,4,Robbery,14,17072,0.82
2003,Stanislaus,5,Violent crime total,41,17072,0.6
2003,Alameda,1,Aggravated assault,2762,407003,6.79
2003,Alameda,2,Forcible rape,268,407003,0.66
2003,Alameda,3,Murder and non-negligent manslaughter,109,407003,0.27
2003,Alameda,4,Robbery,2474,407003,6.08
2003,Alameda,5,Violent crime total,5613,407003,3.45
2003,Contra Costa,1,Aggravated assault,83,26481,3.13
2003,Contra Costa,2,Forcible rape,8,26481,0.3
2003,Contra Costa,4,Robbery,12,26481,0.45
2003,Contra Costa,5,Violent crime total,103,26481,0.97
2003,San Diego,1,Aggravated assault,687,167620,4.1
2003,San Diego,2,Forcible rape,63,167620,0.38
2003,San Diego,3,Murder and non-negligent manslaughter,8,167620,0.05
2003,San Diego,4,Robbery,332,167620,1.98
2003,San Diego,5,Violent crime total,1090,167620,1.62
2003,Ventura,1,Aggravated assault,15,8026,1.87
2003,Ventura,4,Robbery,4,8026,0.5
2003,Ventura,5,Violent crime total,19,8026,0.59
2003,San Bernardino,1,Aggravated assault,523,166796,3.14
2003,San Bernardino,2,Forcible rape,47,166796,0.28
2003,San Bernardino,3,Murder and non-negligent manslaughter,11,166796,0.07
2003,San Bernardino,4,Robbery,323,166796,1.94
2003,San Bernardino,5,Violent crime total,904,166796,1.35
2003,Orange,1,Aggravated assault,154,132987,1.16
2003,Orange,1,Aggravated assault,154,16687,9.23
2003,Orange,2,Forcible rape,10,132987,0.08
2003,Orange,2,Forcible rape,10,16687,0.6
2003,Orange,3,Murder and non-negligent manslaughter,1,132987,0.01
2003,Orange,3,Murder and non-negligent manslaughter,1,16687,0.06
2003,Orange,4,Robbery,97,132987,0.73
2003,Orange,4,Robbery,97,16687,5.81
2003,Orange,5,Violent crime total,262,132987,0.49
2003,Orange,5,Violent crime total,262,16687,3.92
2003,Contra Costa,1,Aggravated assault,8,18259,0.44
2003,Contra Costa,4,Robbery,4,18259,0.22
2003,Contra Costa,5,Violent crime total,12,18259,0.17
2003,Glenn,1,Aggravated assault,23,6349,3.62
2003,Glenn,2,Forcible rape,5,6349,0.79
2003,Glenn,4,Robbery,5,6349,0.79
2003,Glenn,5,Violent crime total,33,6349,1.3
2003,Butte,1,Aggravated assault,111,13249,8.38
2003,Butte,2,Forcible rape,10,13249,0.75
2003,Butte,3,Murder and non-negligent manslaughter,1,13249,0.08
2003,Butte,4,Robbery,23,13249,1.74
2003,Butte,5,Violent crime total,145,13249,2.73
2003,Ventura,1,Aggravated assault,397,179851,2.21
2003,Ventura,2,Forcible rape,37,179851,0.21
2003,Ventura,3,Murder and non-negligent manslaughter,22,179851,0.12
2003,Ventura,4,Robbery,352,179851,1.96
2003,Ventura,5,Violent crime total,808,179851,1.12
2003,San Mateo,1,Aggravated assault,42,38167,1.1
2003,San Mateo,2,Forcible rape,7,38167,0.18
2003,San Mateo,3,Murder and non-negligent manslaughter,1,38167,0.03
2003,San Mateo,4,Robbery,15,38167,0.39
2003,San Mateo,5,Violent crime total,65,38167,0.42
2003,Monterey,1,Aggravated assault,14,15812,0.89
2003,Monterey,2,Forcible rape,3,15812,0.19
2003,Monterey,4,Robbery,6,15812,0.38
2003,Monterey,5,Violent crime total,23,15812,0.36
2003,Los Angeles,1,Aggravated assault,582,125651,4.63
2003,Los Angeles,2,Forcible rape,43,125651,0.34
2003,Los Angeles,3,Murder and non-negligent manslaughter,11,125651,0.09
2003,Los Angeles,4,Robbery,284,125651,2.26
2003,Los Angeles,5,Violent crime total,920,125651,1.83
2003,Riverside,1,Aggravated assault,129,44792,2.88
2003,Riverside,2,Forcible rape,9,44792,0.2
2003,Riverside,4,Robbery,30,44792,0.67
2003,Riverside,5,Violent crime total,168,44792,0.94
2003,Riverside,1,Aggravated assault,266,44993,5.91
2003,Riverside,2,Forcible rape,29,44993,0.64
2003,Riverside,3,Murder and non-negligent manslaughter,5,44993,0.11
2003,Riverside,4,Robbery,90,44993,2.0
2003,Riverside,5,Violent crime total,390,44993,2.17
2003,Santa Clara,1,Aggravated assault,41,58147,0.71
2003,Santa Clara,2,Forcible rape,5,58147,0.09
2003,Santa Clara,3,Murder and non-negligent manslaughter,2,58147,0.03
2003,Santa Clara,4,Robbery,40,58147,0.69
2003,Santa Clara,5,Violent crime total,88,58147,0.38
2003,Los Angeles,1,Aggravated assault,1,13894,0.07
2003,Los Angeles,5,Violent crime total,1,13894,0.02
2003,Butte,1,Aggravated assault,49,27024,1.81
2003,Butte,2,Forcible rape,7,27024,0.26
2003,Butte,4,Robbery,7,27024,0.26
2003,Butte,5,Violent crime total,63,27024,0.58
2003,Los Angeles,1,Aggravated assault,224,57082,3.92
2003,Los Angeles,2,Forcible rape,14,57082,0.25
2003,Los Angeles,3,Murder and non-negligent manslaughter,10,57082,0.18
2003,Los Angeles,4,Robbery,182,57082,3.19
2003,Los Angeles,5,Violent crime total,430,57082,1.88
2003,Fresno,1,Aggravated assault,77,12422,6.2
2003,Fresno,2,Forcible rape,8,12422,0.64
2003,Fresno,4,Robbery,20,12422,1.61
2003,Fresno,5,Violent crime total,105,12422,2.11
2003,Los Angeles,1,Aggravated assault,393,141178,2.78
2003,Los Angeles,2,Forcible rape,38,141178,0.27
2003,Los Angeles,3,Murder and non-negligent manslaughter,4,141178,0.03
2003,Los Angeles,4,Robbery,265,141178,1.88
2003,Los Angeles,5,Violent crime total,700,141178,1.24
2003,Stanislaus,1,Aggravated assault,19,13663,1.39
2003,Stanislaus,2,Forcible rape,1,13663,0.07
2003,Stanislaus,4,Robbery,4,13663,0.29
2003,Stanislaus,5,Violent crime total,24,13663,0.44
2003,Riverside,1,Aggravated assault,204,38700,5.27
2003,Riverside,2,Forcible rape,17,38700,0.44
2003,Riverside,3,Murder and non-negligent manslaughter,4,38700,0.1
2003,Riverside,4,Robbery,80,38700,2.07
2003,Riverside,5,Violent crime total,305,38700,1.97
2003,Sonoma,1,Aggravated assault,69,55832,1.24
2003,Sonoma,2,Forcible rape,20,55832,0.36
2003,Sonoma,3,Murder and non-negligent manslaughter,1,55832,0.02
2003,Sonoma,4,Robbery,21,55832,0.38
2003,Sonoma,5,Violent crime total,111,55832,0.5
2003,Los Angeles,1,Aggravated assault,286,65539,4.36
2003,Los Angeles,2,Forcible rape,10,65539,0.15
2003,Los Angeles,3,Murder and non-negligent manslaughter,7,65539,0.11
2003,Los Angeles,4,Robbery,82,65539,1.25
2003,Los Angeles,5,Violent crime total,385,65539,1.47
2003,Alameda,1,Aggravated assault,7,11152,0.63
2003,Alameda,4,Robbery,7,11152,0.63
2003,Alameda,5,Violent crime total,14,11152,0.32
2003,Contra Costa,1,Aggravated assault,42,19643,2.14
2003,Contra Costa,2,Forcible rape,5,19643,0.25
2003,Contra Costa,3,Murder and non-negligent manslaughter,2,19643,0.1
2003,Contra Costa,4,Robbery,30,19643,1.53
2003,Contra Costa,5,Violent crime total,79,19643,1.0
2003,San Luis Obispo,1,Aggravated assault,17,8737,1.95
2003,San Luis Obispo,2,Forcible rape,5,8737,0.57
2003,San Luis Obispo,3,Murder and non-negligent manslaughter,1,8737,0.11
2003,San Luis Obispo,4,Robbery,6,8737,0.69
2003,San Luis Obispo,5,Violent crime total,29,8737,0.83
2003,Contra Costa,1,Aggravated assault,135,61160,2.21
2003,Contra Costa,2,Forcible rape,10,61160,0.16
2003,Contra Costa,3,Murder and non-negligent manslaughter,6,61160,0.1
2003,Contra Costa,4,Robbery,82,61160,1.34
2003,Contra Costa,5,Violent crime total,233,61160,0.95
2003,Orange,1,Aggravated assault,84,48299,1.74
2003,Orange,2,Forcible rape,6,48299,0.12
2003,Orange,3,Murder and non-negligent manslaughter,1,48299,0.02
2003,Orange,4,Robbery,36,48299,0.75
2003,Orange,5,Violent crime total,127,48299,0.66
2003,El Dorado,1,Aggravated assault,26,10230,2.54
2003,El Dorado,2,Forcible rape,5,10230,0.49
2003,El Dorado,4,Robbery,9,10230,0.88
2003,El Dorado,5,Violent crime total,40,10230,0.98
2003,Contra Costa,1,Aggravated assault,74,33889,2.18
2003,Contra Costa,2,Forcible rape,8,33889,0.24
2003,Contra Costa,4,Robbery,52,33889,1.53
2003,Contra Costa,5,Violent crime total,134,33889,0.99
2003,Alameda,1,Aggravated assault,43,66845,0.64
2003,Alameda,2,Forcible rape,8,66845,0.12
2003,Alameda,4,Robbery,31,66845,0.46
2003,Alameda,5,Violent crime total,82,66845,0.31
2003,Los Angeles,1,Aggravated assault,729,155166,4.7
2003,Los Angeles,2,Forcible rape,49,155166,0.32
2003,Los Angeles,3,Murder and non-negligent manslaughter,17,155166,0.11
2003,Los Angeles,4,Robbery,422,155166,2.72
2003,Los Angeles,5,Violent crime total,1217,155166,1.96
2003,Tulare,1,Aggravated assault,170,41742,4.07
2003,Tulare,2,Forcible rape,12,41742,0.29
2003,Tulare,3,Murder and non-negligent manslaughter,1,41742,0.02
2003,Tulare,4,Robbery,54,41742,1.29
2003,Tulare,5,Violent crime total,237,41742,1.42
2003,Ventura,1,Aggravated assault,49,22482,2.18
2003,Ventura,2,Forcible rape,8,22482,0.36
2003,Ventura,4,Robbery,32,22482,1.42
2003,Ventura,5,Violent crime total,89,22482,0.99
2003,San Diego,1,Aggravated assault,62,49630,1.25
2003,San Diego,2,Forcible rape,3,49630,0.06
2003,San Diego,3,Murder and non-negligent manslaughter,2,49630,0.04
2003,San Diego,4,Robbery,11,49630,0.22
2003,San Diego,5,Violent crime total,78,49630,0.39
2003,San Bernardino,1,Aggravated assault,157,145219,1.08
2003,San Bernardino,2,Forcible rape,19,145219,0.13
2003,San Bernardino,3,Murder and non-negligent manslaughter,4,145219,0.03
2003,San Bernardino,4,Robbery,128,145219,0.88
2003,San Bernardino,5,Violent crime total,308,145219,0.53
2003,Riverside,1,Aggravated assault,39,14767,2.64
2003,Riverside,2,Forcible rape,1,14767,0.07
2003,Riverside,4,Robbery,9,14767,0.61
2003,Riverside,5,Violent crime total,49,14767,0.83
2003,Los Angeles,1,Aggravated assault,37,42568,0.87
2003,Los Angeles,2,Forcible rape,1,42568,0.02
2003,Los Angeles,4,Robbery,8,42568,0.19
2003,Los Angeles,5,Violent crime total,46,42568,0.27
2003,Orange,1,Aggravated assault,27,48666,0.55
2003,Orange,2,Forcible rape,1,48666,0.02
2003,Orange,4,Robbery,6,48666,0.12
2003,Orange,5,Violent crime total,34,48666,0.17
2003,Tehama,1,Aggravated assault,151,13650,11.06
2003,Tehama,2,Forcible rape,10,13650,0.73
2003,Tehama,4,Robbery,6,13650,0.44
2003,Tehama,5,Violent crime total,167,13650,3.06
2003,Shasta,1,Aggravated assault,236,86559,2.73
2003,Shasta,2,Forcible rape,67,86559,0.77
2003,Shasta,3,Murder and non-negligent manslaughter,2,86559,0.02
2003,Shasta,4,Robbery,88,86559,1.02
2003,Shasta,5,Violent crime total,393,86559,1.14
